,ID,ageGap,attendReligiousServiceFreq,employmentStatus,genderSubjectAttractedTo,houseType,householdAdults_num,householdIncome,householdMinor_num,householdSize,interracial,isHispanic,isLivingTogether,isMarried,isMetroArea,metAs_coworkers,metAs_customerAndClient,metAs_workNeighbors,metIn_church,metIn_college,metIn_military,metIn_privateParty,metIn_public,metIn_restaurantOrBar,metIn_school,metIn_voluntaryOrg,metOn_blindDate,metOn_businessTrip,metOn_vacation,metOnline_all,metOnline_chat,metOnline_datingSiteOrApp,metOnline_gaming,metOnline_nonDatingSite,metOnline_other,metOnline_socialNetwork,metThru_family,metThru_friend,metThru_notInternetDatingService,metThru_orAs_neighbors,met_YearFraction,met_to_shipStart_diff,moveIn_YearFraction,numRelativesSeePerMonth,ownHouseRentOther,partnerAge,partnerEduc_years,partnerGender,partnerMotherEduc_years,partnerParty_DemPos_RepNeg,partnerRace,partyDifference,region,relationshipQuality,relationshipQuality_isGood,relationshipQuality_num,season_met,season_shipStart,sexFrequency,shipStart_YearFraction,shipStart_to_moveIn_YearFraction,straightGayLesbian,subjectAge,subjectAgeWhenMet,subjectCountryWhenMetPartner,subjectEduc_years,subjectGender,subjectGrewUpInUS,subjectMotherEduc_years,subjectParty_DemPos_RepNeg,subjectRace,subjectSexualIdentity,timesDivorcedOrWidowed,whoEarnedMore
992,2850981,6.0,More than once a week,unemployed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,300000,0,2,yes,False,Yes,"Yes, I am Married",Non-Metro,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,1955.7084,,1962.9584,17.0,Owned or being bought by you or someone in your household,78.0,12.0,[Partner Name] is Male,14.0,-3,White,0,Midwest,Excellent,1,5,autumn,summer,Once or twice a week,,,hetero couple,72,10.0,United States,17.0,Female,United States,2.5,-3,"American Indian, Aleut, or Eskimo",heterosexual or straight,0.0,[Partner Name] earned more
993,2880741,7.0,Once a week,unemployed,sexually attracted only to opposite gender,A one-family house detached from any other house,4,45000,0,4,yes,True,Yes,"Yes, I am Married",Metro,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,1977.375,0.16662598,1978.4584,0.0,Owned or being bought by you or someone in your household,58.0,12.0,[Partner Name] is Male,12.0,-3,White,0,South,Excellent,1,5,spring,summer,Once or twice a week,1977.5416,0.91674805,hetero couple,65,25.0,United States,12.0,Female,United States,13.0,-3,Other (please specify),heterosexual or straight,1.0,[Partner Name] earned more
994,2211773,0.0,Once a year or less,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,32500,1,3,no,False,Yes,"Yes, I am Married",Non-Metro,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2010.5416,0.0,2010.5416,2.0,Owned or being bought by you or someone in your household,36.0,12.0,[Partner Name] is Male,12.0,-3,White,1,Midwest,Excellent,1,5,summer,summer,2 to 3 times a month,2010.5416,0.0,hetero couple,36,29.0,United States,12.0,Female,United States,12.0,-2,White,heterosexual or straight,0.0,We earned about the same amount
995,1833759,0.0,Once a week,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,3,67500,0,3,no,False,Yes,"Yes, I am Married",Non-Metro,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1989.625,0.16662598,1989.7916,3.0,Owned or being bought by you or someone in your household,53.0,12.0,[Partner Name] is Male,12.0,0,White,1,Midwest,Good,1,4,summer,autumn,Once a month or less,1989.7916,0.0,hetero couple,53,25.0,United States,12.0,Female,United States,17.0,-1,White,heterosexual or straight,1.0,[Partner Name] earned more
996,657869,0.0,Never,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,150000,1,3,no,False,Yes,"Yes, I am Married",Metro,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1974.9584,0.0,1975.625,2.0,Owned or being bought by you or someone in your household,60.0,16.0,[Partner Name] is Female,13.0,0,White,0,South,Excellent,1,5,winter,winter,Once or twice a week,1974.9584,0.666626,hetero couple,60,17.0,United States,14.0,Male,United States,12.0,0,White,heterosexual or straight,0.0,I earned more
998,2686627,1.0,A few times a year,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,55000,0,2,no,False,Yes,"Yes, I am Married",Metro,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1965.0416,19.666748,1984.7916,0.0,Owned or being bought by you or someone in your household,64.0,14.0,[Partner Name] is Male,12.0,0,White,1,Northeast,Good,1,4,winter,autumn,Once a month or less,1984.7084,0.08325195,hetero couple,65,13.0,United States,14.0,Female,United States,12.0,1,White,heterosexual or straight,1.0,[Partner Name] earned more
999,2843707,1.0,A few times a year,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,32500,0,2,no,False,Yes,"Yes, I am Married",Metro,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1979.2916,,1980.5416,5.0,Owned or being bought by you or someone in your household,63.0,12.0,[Partner Name] is Female,12.0,-1,White,2,South,Excellent,1,5,spring,,Once a month or less,,,hetero couple,64,26.0,United States,16.0,Male,United States,13.0,-3,White,heterosexual or straight,0.0,I earned more
1001,2923177,0.0,A few times a year,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,112500,2,4,no,False,Yes,"Yes, I am Married",Metro,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,1989.7084,11.333252,2004.4584,4.0,Owned or being bought by you or someone in your household,34.0,16.0,[Partner Name] is Male,17.0,0,White,1,Northeast,Excellent,1,5,autumn,winter,2 to 3 times a month,2001.0416,3.416748,hetero couple,34,6.0,United States,17.0,Female,United States,12.0,1,White,heterosexual or straight,0.0,[Partner Name] earned more
1002,2776897,7.0,Once a week,retired,sexually attracted only to opposite gender,A one-family house detached from any other house,2,112500,0,2,no,False,Yes,"Yes, I am Married",Metro,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,1995.625,0.08337402,1996.875,12.0,Owned or being bought by you or someone in your household,60.0,13.0,[Partner Name] is Male,7.5,-3,White,1,Northeast,Excellent,1,5,summer,autumn,Refused,1995.7084,1.166626,hetero couple,67,45.0,United States,14.0,Female,United States,7.5,-2,White,heterosexual or straight,1.0,I earned more
1003,2339573,1.0,Once a week,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,32500,0,2,no,False,Yes,"Yes, I am Married",Metro,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,1965.2084,0.83325195,1968.0416,0.0,Owned or being bought by you or someone in your household,69.0,13.0,[Partner Name] is Female,12.0,-1,White,1,South,Good,1,4,spring,winter,Once a month or less,1966.0416,2.0,hetero couple,70,18.0,United States,16.0,Male,United States,12.0,-2,White,heterosexual or straight,0.0,I earned more
1005,2614267,8.0,Never,retired,sexually attracted only to opposite gender,A one-family house detached from any other house,2,17500,0,2,no,False,Yes,"Yes, I am Married",Non-Metro,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1991.375,0.0,1992.4584,0.0,Owned or being bought by you or someone in your household,66.0,12.0,[Partner Name] is Male,7.5,0,White,1,South,Excellent,1,5,spring,spring,2 to 3 times a month,1991.375,1.083374,hetero couple,58,32.0,United States,12.0,Female,United States,12.0,1,White,heterosexual or straight,0.0,We earned about the same amount
1006,1854377,0.0,Once or twice a month,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,1,137500,0,1,no,False,No,"Yes, I am Married",Metro,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,1988.625,0.0,1989.4584,2.0,Owned or being bought by you or someone in your household,63.0,16.0,[Partner Name] is Male,7.5,3,Black or African American,0,South,Poor,0,2,summer,summer,Once a month or less,1988.625,0.833374,hetero couple,63,34.0,United States,14.0,Female,United States,9.0,3,Black or African American,heterosexual or straight,0.0,[Partner Name] earned more
1007,1894235,1.0,A few times a year,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,300000,0,2,no,False,Yes,"Yes, I am Married",Metro,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1982.7084,0.5,1985.625,4.0,Owned or being bought by you or someone in your household,57.0,20.0,[Partner Name] is Female,13.0,-2,White,1,Midwest,Good,1,4,autumn,spring,2 to 3 times a month,1983.2084,2.416626,hetero couple,56,21.0,United States,20.0,Male,United States,12.0,-3,White,heterosexual or straight,0.0,I earned more
1008,2682197,6.0,Once a year or less,employed,sexually attracted only to opposite gender,A one-family house attached to one or more houses,2,22500,1,3,no,False,Yes,"No, I am not Married",Non-Metro,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2014.5416,0.25,2015.0416,5.0,Rented for cash,23.0,12.0,[Partner Name] is Male,12.0,0,White,2,Northeast,Good,1,4,summer,autumn,Once or twice a week,2014.7916,0.25,hetero couple,29,26.0,United States,12.0,Female,United States,11.0,2,White,heterosexual or straight,0.0,I earned more
1009,2605985,1.0,Once a year or less,employed,sexually attracted only to opposite gender,A building with 2 or more apartments,2,92500,0,2,no,False,Yes,"Yes, I am Married",Metro,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2014.2916,3.0,,5.0,Rented for cash,27.0,16.0,[Partner Name] is Female,12.0,0,White,2,Midwest,Excellent,1,5,spring,spring,3 to 6 times a week,2017.2916,,hetero couple,26,23.0,United States,16.0,Male,United States,12.0,2,White,heterosexual or straight,0.0,I earned more
1010,2745439,0.0,Once or twice a month,unemployed,sexually attracted only to opposite gender,A one-family house detached from any other house,4,150000,2,6,no,False,No,"No, I am not Married",Metro,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2015.2084,0.08325195,,5.0,Owned or being bought by you or someone in your household,19.0,13.0,[Partner Name] is Male,16.0,-3,White,1,South,Excellent,1,5,spring,spring,Refused,2015.2916,,hetero couple,19,17.0,United States,12.0,Female,United States,17.0,-2,White,heterosexual or straight,0.0,[Partner Name] earned more
1011,2335945,5.0,Once a year or less,retired,sexually attracted only to opposite gender,A one-family house detached from any other house,2,22500,0,2,no,False,Yes,"Yes, I am Married",Metro,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1958.0416,11.083374,1971.375,0.0,Owned or being bought by you or someone in your household,70.0,12.0,[Partner Name] is Female,12.0,-3,White,0,South,Excellent,1,5,winter,winter,Once a month or less,1969.125,2.25,hetero couple,75,16.0,United States,12.0,Male,United States,12.0,-3,White,heterosexual or straight,3.0,We earned about the same amount
1012,2942339,4.0,More than once a week,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,17500,3,5,yes,False,Yes,"Yes, I am Married",Non-Metro,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2002.2916,3.916748,2006.7916,3.0,Owned or being bought by you or someone in your household,30.0,12.0,[Partner Name] is Female,20.0,0,Other (please specify),0,South,Excellent,1,5,spring,spring,Refused,2006.2084,0.58325195,hetero couple,34,19.0,United States,12.0,Male,United States,12.0,0,White,heterosexual or straight,0.0,I earned more
1014,1966851,2.0,Once a year or less,employed,sexually attracted only to opposite gender,A building with 2 or more apartments,2,37500,0,2,yes,False,Yes,"No, I am not Married",Metro,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,2006.9584,0.08325195,2009.4584,10.0,Rented for cash,25.0,12.0,[Partner Name] is Male,12.0,0,Black or African American,3,Midwest,Excellent,1,5,winter,winter,Once or twice a week,2007.0416,2.416748,hetero couple,27,16.0,United States,12.0,Female,United States,10.0,3,"American Indian, Aleut, or Eskimo",heterosexual or straight,0.0,I earned more
1015,2312691,16.0,Never,employed,sexually attracted only to same gender,A one-family house detached from any other house,2,80000,0,2,no,False,Yes,"No, I am not Married",Metro,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,1980.2084,0.5,1980.7084,3.0,Owned or being bought by you or someone in your household,74.0,17.0,[Partner Name] is Male,12.0,3,White,0,South,Good,1,4,spring,autumn,Refused,1980.7084,0.0,gay male couple,58,21.0,United States,12.0,Male,United States,11.0,3,White,gay,1.0,[Partner Name] earned more
1016,2634077,36.0,Once a week,retired,sexually attracted only to opposite gender,A one-family house detached from any other house,2,45000,0,2,no,False,Yes,"Yes, I am Married",Non-Metro,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,2011.625,0.08337402,,0.0,Owned or being bought by you or someone in your household,32.0,17.0,[Partner Name] is Female,16.0,-1,White,0,Midwest,Excellent,1,5,summer,autumn,Once or twice a week,2011.7084,,hetero couple,68,62.0,United States,17.0,Male,United States,2.5,-1,White,heterosexual or straight,0.0,I earned more
1017,842845,3.0,Never,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,1,45000,0,1,no,False,Yes,"Yes, I am Married",Metro,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1984.5416,0.0,1985.2916,1.0,Owned or being bought by you or someone in your household,51.0,12.0,[Partner Name] is Male,12.0,-3,White,0,South,Excellent,1,5,summer,summer,Refused,1984.5416,0.75,hetero couple,54,21.0,United States,12.0,Female,United States,12.0,-3,White,heterosexual or straight,0.0,I earned more
1018,785119,2.0,Once or twice a month,retired,sexually attracted only to opposite gender,A one-family house detached from any other house,2,80000,0,2,no,False,Yes,"Yes, I am Married",Metro,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,1953.5416,0.25,1955.7916,0.0,Owned or being bought by you or someone in your household,86.0,16.0,[Partner Name] is Female,12.0,3,White,5,Northeast,Good,1,4,summer,autumn,Once a month or less,1953.7916,2.0,hetero couple,84,20.0,United States,17.0,Male,United States,12.0,-2,White,heterosexual or straight,0.0,[Partner Name] was not working for pay
1019,2905035,5.0,Never,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,300000,0,2,no,False,Yes,"Yes, I am Married",Metro,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,1996.4584,3.0,Owned or being bought by you or someone in your household,64.0,16.0,[Partner Name] is Female,14.0,3,White,0,Northeast,Excellent,1,5,,summer,Once or twice a week,1988.5416,7.916748,hetero couple,59,,United States,20.0,Male,United States,13.0,3,White,heterosexual or straight,1.0,I earned more
1020,1759461,2.0,More than once a week,unemployed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,6250,0,2,no,False,Yes,"Yes, I am Married",Non-Metro,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1991.875,0.33337402,1992.2084,0.0,Owned or being bought by you or someone in your household,53.0,7.5,[Partner Name] is Female,17.0,0,White,3,South,Excellent,1,5,autumn,spring,3 to 6 times a week,1992.2084,0.0,hetero couple,55,29.0,United States,12.0,Male,United States,12.0,3,White,heterosexual or straight,1.0,We earned about the same amount
1022,2923673,1.0,More than once a week,employed,sexually attracted only to opposite gender,A building with 2 or more apartments,2,55000,0,2,yes,True,Yes,"Yes, I am Married",Metro,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1984.7916,0.25,1987.2084,0.0,Rented for cash,56.0,13.0,[Partner Name] is Female,12.0,-3,Asian or Pacific Islander,0,South,Excellent,1,5,autumn,winter,Once a day or more,1985.0416,2.166748,hetero couple,55,22.0,United States,14.0,Male,United States,12.0,-3,White,heterosexual or straight,0.0,I earned more
1024,2649847,1.0,Once a year or less,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,92500,0,2,no,False,Yes,"Yes, I am Married",Non-Metro,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,1975.4584,0.16662598,1979.125,0.0,Owned or being bought by you or someone in your household,59.0,12.0,[Partner Name] is Male,11.0,0,White,3,Midwest,Excellent,1,5,summer,summer,Once or twice a week,1975.625,3.5,hetero couple,58,16.0,United States,12.0,Female,United States,12.0,-3,White,heterosexual or straight,0.0,[Partner Name] earned more
1025,2163859,2.0,Once or twice a month,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,112500,2,4,no,False,Yes,"Yes, I am Married",Metro,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1986.5416,5.083374,1995.4584,6.0,Owned or being bought by you or someone in your household,35.0,17.0,[Partner Name] is Female,17.0,0,White,2,Northeast,Good,1,4,summer,summer,Once or twice a week,1991.625,3.833374,hetero couple,37,6.0,United States,17.0,Male,United States,12.0,2,White,heterosexual or straight,0.0,I earned more
1027,2296989,3.0,Once a week,retired,sexually attracted only to opposite gender,A one-family house detached from any other house,2,112500,0,2,no,False,Yes,"Yes, I am Married",Metro,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1976.5416,0.0,1983.625,0.0,Owned or being bought by you or someone in your household,78.0,12.0,[Partner Name] is Female,14.0,-3,White,0,Northeast,Excellent,1,5,summer,summer,Once a month or less,1976.5416,7.083374,hetero couple,81,40.0,United States,16.0,Male,United States,0.0,-3,White,heterosexual or straight,0.0,I earned more
1028,2553107,0.0,Once or twice a month,unemployed,sexually attracted only to opposite gender,"Boat, RV, van, etc.",1,55000,0,1,no,False,Yes,"Yes, I am Married",Metro,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1985.5416,0.16674805,1986.5416,0.0,Occupied without payment of cash rent,58.0,20.0,[Partner Name] is Female,16.0,-3,White,2,South,Excellent,1,5,summer,autumn,3 to 6 times a week,1985.7084,0.83325195,hetero couple,58,26.0,United States,16.0,Male,United States,12.0,-1,White,heterosexual or straight,0.0,[Partner Name] earned more
1029,2775795,1.0,Never,employed,sexually attracted only to opposite gender,A building with 2 or more apartments,2,45000,0,2,no,False,Yes,"No, I am not Married",Metro,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2010.625,1.166626,2013.0416,0.0,Rented for cash,27.0,20.0,[Partner Name] is Male,20.0,0,White,1,South,Excellent,1,5,summer,autumn,2 to 3 times a month,2011.7916,1.25,hetero couple,26,19.0,United States,16.0,Female,United States,16.0,1,White,heterosexual or straight,0.0,I earned more
1030,2913301,4.0,Once a week,employed,sexually attracted only to opposite gender,A building with 2 or more apartments,2,22500,0,2,no,False,Yes,"Yes, I am Married",Metro,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1961.7084,0.08325195,1965.4584,0.0,Rented for cash,74.0,17.0,[Partner Name] is Female,12.0,0,White,0,West,Excellent,1,5,autumn,autumn,Once a month or less,1961.7916,3.666748,hetero couple,70,14.0,United States,17.0,Male,United States,16.0,0,White,heterosexual or straight,0.0,We earned about the same amount
1031,2684457,6.0,Once a year or less,unemployed,sexually attracted only to opposite gender,A one-family house detached from any other house,3,67500,0,3,no,False,Yes,"Yes, I am Married",Non-Metro,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,1979.875,0.08337402,1981.2916,0.0,Owned or being bought by you or someone in your household,61.0,12.0,[Partner Name] is Male,12.0,-2,White,1,South,Excellent,1,5,autumn,winter,Once a month or less,1979.9584,1.333252,hetero couple,55,17.0,United States,12.0,Female,United States,12.0,-1,White,heterosexual or straight,0.0,[Partner Name] earned more
1032,1912589,8.0,Once a week,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,3,187500,0,3,no,False,No,"No, I am not Married",Metro,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2016.4584,0.0,2017.2084,6.0,Owned or being bought by you or someone in your household,19.0,14.0,[Partner Name] is Female,13.0,0,Black or African American,1,Northeast,Good,1,4,summer,summer,3 to 6 times a week,2016.4584,0.75,hetero couple,27,26.0,United States,13.0,Male,"Another country, please specify",12.0,1,Black or African American,heterosexual or straight,0.0,[Partner Name] earned more
1033,1964141,1.0,Never,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,137500,1,3,no,False,Yes,"No, I am not Married",Metro,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,2011.4584,0.916626,2014.4584,0.0,Rented for cash,29.0,17.0,[Partner Name] is Male,16.0,1,White,1,Midwest,Excellent,1,5,summer,spring,2 to 3 times a month,2012.375,2.083374,hetero couple,28,22.0,United States,17.0,Female,United States,17.0,2,White,heterosexual or straight,0.0,I earned more
1034,1645953,2.0,Once or twice a month,unemployed,sexually attracted only to opposite gender,A one-family house detached from any other house,3,67500,0,3,no,False,Yes,"Yes, I am Married",Non-Metro,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,1986.7084,0.16662598,1995.5416,,Owned or being bought by you or someone in your household,54.0,10.0,[Partner Name] is Male,12.0,-3,White,1,Northeast,Good,1,4,autumn,autumn,2 to 3 times a month,1986.875,8.666626,hetero couple,52,21.0,United States,12.0,Female,United States,12.0,-2,White,heterosexual or straight,0.0,[Partner Name] earned more
1035,2136809,2.0,Once a week,unemployed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,112500,0,2,no,False,Yes,"Yes, I am Married",Metro,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2004.625,,,0.0,Owned or being bought by you or someone in your household,38.0,13.0,[Partner Name] is Male,12.0,0,White,3,Northeast,Fair,0,3,summer,,Once a day or more,,,hetero couple,40,27.0,United States,16.0,Male,United States,12.0,-3,White,heterosexual or straight,0.0,I earned more
1036,2770541,2.0,Once a year or less,employed,"sexually attracted mostly to opposite gender, sometimes same gender",A one-family house detached from any other house,2,112500,0,2,no,True,Yes,"Yes, I am Married",Metro,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1997.875,0.0,2007.375,5.0,Owned or being bought by you or someone in your household,59.0,12.0,[Partner Name] is Male,12.0,-3,White,2,South,Good,1,4,autumn,autumn,Once a month or less,1997.875,9.5,hetero couple,61,41.0,United States,13.0,Female,United States,7.5,-1,White,heterosexual or straight,3.0,[Partner Name] earned more
1037,2142099,10.0,Once a week,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,187500,4,6,yes,True,Yes,"Yes, I am Married",Non-Metro,,,,,,,,,,,,,,,no,,,,,,,,,,,1990.375,0.08337402,1990.7084,1.0,Owned or being bought by you or someone in your household,45.0,13.0,[Partner Name] is Female,12.0,-3,White,0,Midwest,Good,1,4,spring,summer,Refused,1990.4584,0.25,hetero couple,55,28.0,United States,12.0,Male,United States,9.0,-3,"American Indian, Aleut, or Eskimo",heterosexual or straight,0.0,I earned more
1038,2776651,0.0,Once a week,retired,sexually attracted only to opposite gender,A one-family house detached from any other house,1,67500,0,1,no,False,Yes,"Yes, I am Married",Metro,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,1964.0416,,1963.125,5.0,Owned or being bought by you or someone in your household,73.0,12.0,[Partner Name] is Female,12.0,0,White,1,South,Excellent,1,5,winter,,Once a month or less,,,hetero couple,73,20.0,United States,12.0,Male,United States,12.0,-1,White,heterosexual or straight,0.0,I earned more
1039,2784795,11.0,Once a year or less,employed,sexually attracted only to opposite gender,A building with 2 or more apartments,2,37500,0,2,no,False,Yes,"Yes, I am Married",Metro,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,2003.5416,0.66674805,2004.7084,3.0,Rented for cash,47.0,11.0,[Partner Name] is Male,12.0,0,White,2,Northeast,Excellent,1,5,summer,spring,Once or twice a week,2004.2084,0.5,hetero couple,58,44.0,United States,12.0,Female,United States,16.0,-2,White,heterosexual or straight,1.0,[Partner Name] earned more
1040,2219513,2.0,Once a week,unemployed,sexually attracted only to same gender,A one-family house detached from any other house,3,92500,0,3,no,False,No,"No, I am not Married",Metro,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1991.375,0.16662598,,5.0,Owned or being bought by you or someone in your household,58.0,13.0,[Partner Name] is Male,12.0,3,Black or African American,0,South,Good,1,4,spring,summer,Once a month or less,1991.5416,,gay male couple,56,30.0,United States,14.0,Male,United States,12.0,3,Black or African American,gay,0.0,[Partner Name] earned more
1041,2336171,1.0,Once or twice a month,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,300000,0,2,no,False,Yes,"Yes, I am Married",Metro,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1962.625,0.583374,1965.4584,0.0,Owned or being bought by you or someone in your household,75.0,17.0,[Partner Name] is Female,16.0,3,White,0,South,Excellent,1,5,summer,spring,Once a month or less,1963.2084,2.25,hetero couple,74,19.0,United States,20.0,Male,United States,12.0,3,White,heterosexual or straight,0.0,I earned more
1042,1862227,1.0,Once or twice a month,employed,sexually attracted only to opposite gender,A building with 2 or more apartments,1,32500,0,1,no,True,No,"No, I am not Married",Metro,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,2016.375,0.0,,1.0,Rented for cash,53.0,12.0,[Partner Name] is Male,12.0,-3,White,0,South,Fair,0,3,spring,spring,Refused,2016.375,,hetero couple,54,53.0,United States,14.0,Female,United States,16.0,-3,White,heterosexual or straight,2.0,I earned more
1043,2959699,13.0,Never,retired,sexually attracted only to opposite gender,A one-family house detached from any other house,3,55000,1,4,no,False,Yes,"Yes, I am Married",Non-Metro,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1986.7084,0.0,1987.125,3.0,Owned or being bought by you or someone in your household,52.0,12.0,[Partner Name] is Female,16.0,2,White,1,Northeast,Good,1,4,autumn,autumn,Once or twice a week,1986.7084,0.41662598,hetero couple,65,34.0,United States,11.0,Male,United States,11.0,1,White,heterosexual or straight,3.0,I earned more
1046,2489661,1.0,A few times a year,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,3,137500,2,5,no,False,Yes,"Yes, I am Married",Non-Metro,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,1994.0416,0.0,1994.625,1.0,Owned or being bought by you or someone in your household,48.0,17.0,[Partner Name] is Male,13.0,1,White,2,Midwest,Excellent,1,5,winter,winter,Once or twice a week,1994.0416,0.583374,hetero couple,47,24.0,United States,17.0,Female,United States,14.0,-1,White,heterosexual or straight,0.0,We earned about the same amount
1047,2586225,10.0,Never,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,137500,0,2,no,False,Yes,"No, I am not Married",Metro,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,2006.5416,0.0,2006.5416,0.0,Owned or being bought by you or someone in your household,44.0,13.0,[Partner Name] is Male,13.0,0,White,3,South,Good,1,4,summer,summer,Once or twice a week,2006.5416,0.0,hetero couple,54,43.0,United States,17.0,Female,United States,12.0,-3,White,heterosexual or straight,2.0,[Partner Name] was not working for pay
